央视,undefined
CCTV-1综合,https://udpxy.carlzeng.top:3/rtp/239.3.1.1:8000
CCTV-2财经,https://udpxy.carlzeng.top:3/rtp/239.3.1.2:8004
CCTV-3综艺,https://udpxy.carlzeng.top:3/rtp/239.3.1.107:8001
CCTV-4中文国际,https://udpxy.carlzeng.top:3/rtp/239.3.1.4:8216
CCTV-5体育,https://udpxy.carlzeng.top:3/rtp/239.3.1.108:8001
CCTV-6电影,https://udpxy.carlzeng.top:3/rtp/239.3.1.109:8001
CCTV-7国防军事,https://udpxy.carlzeng.top:3/rtp/239.3.1.7:8024
CCTV-8电视剧,https://udpxy.carlzeng.top:3/rtp/239.3.1.110:8001
CCTV-9纪录,https://udpxy.carlzeng.top:3/rtp/239.3.1.9:8032
CCTV-10科教,https://udpxy.carlzeng.top:3/rtp/239.3.1.10:8228
CCTV-11戏曲,https://udpxy.carlzeng.top:3/rtp/239.3.1.11:8040
CCTV-12社会与法,https://udpxy.carlzeng.top:3/rtp/239.3.1.12:8232
CCTV-13新闻,https://udpxy.carlzeng.top:3/rtp/239.3.1.13:8048
CCTV-14少儿,https://udpxy.carlzeng.top:3/rtp/239.3.1.14:8236
CCTV-15音乐,https://udpxy.carlzeng.top:3/rtp/239.3.1.15:8052
CCTV-17农业农村,https://udpxy.carlzeng.top:3/rtp/239.3.1.150:8064
卫视,undefined
北京卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.225:8000
东方卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.34:8192
东南卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.36:8112
南方卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.161:8001
广西卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.39:8300
海南卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.45:8304
深圳卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.32:9244
厦门卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.143:4120
广东卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.38:8132
江西卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.30:8280
云南卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.26:8108
西藏卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.47:8164
贵州卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.31:8120
重庆卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.35:8296
湖北卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.33:8136
湖南卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.18:8268
安徽卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.21:8272
山东卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.25:8148
江苏卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.20:8276
浙江卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.19:8284
四川卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.29:8288
河南卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.27:8128
陕西卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.41:8140
新疆卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.48:8160
宁夏卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.46:8124
青海卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.44:8184
甘肃卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.49:8188
山西卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.42:8172
河北卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.37:8292
天津卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.23:8144
内蒙古卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.43:8176
辽宁卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.24:8116
黑龙江卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.28:8196
吉林卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.40:8200
三沙卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.155:4120
兵团卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.144:4120
山东教育,https://udpxy.carlzeng.top:3/rtp/239.3.1.52:4120
中国交通,https://udpxy.carlzeng.top:3/rtp/239.3.1.188:8001
剧场,undefined
流行影视,https://udpxy.carlzeng.top:3/rtp/239.3.1.196:9012
热播影视,https://udpxy.carlzeng.top:3/rtp/239.3.1.194:9020
经典电影,https://udpxy.carlzeng.top:3/rtp/239.3.1.195:9024
城市剧场,https://udpxy.carlzeng.top:3/rtp/239.3.1.67:4120
军旅剧场,https://udpxy.carlzeng.top:3/rtp/239.3.1.68:4120
古装剧场,https://udpxy.carlzeng.top:3/rtp/239.3.1.69:4120
武侠剧场,https://udpxy.carlzeng.top:3/rtp/239.3.1.90:4120
喜剧影院,https://udpxy.carlzeng.top:3/rtp/239.3.1.91:4120
动作影院,https://udpxy.carlzeng.top:3/rtp/239.3.1.92:4120
家庭影院,https://udpxy.carlzeng.top:3/rtp/239.3.1.93:4120
海外电影,https://udpxy.carlzeng.top:3/rtp/239.3.1.94:4120
老电影,https://udpxy.carlzeng.top:3/rtp/239.3.1.84:4120
音乐现场,https://udpxy.carlzeng.top:3/rtp/239.3.1.70:4120
国家地理,https://udpxy.carlzeng.top:3/rtp/239.3.1.71:4120
影视精选,https://udpxy.carlzeng.top:3/rtp/239.3.1.74:4120
科技频道,https://udpxy.carlzeng.top:3/rtp/239.3.1.75:4120
军事揭秘,https://udpxy.carlzeng.top:3/rtp/239.3.1.76:4120
国学历史,https://udpxy.carlzeng.top:3/rtp/239.3.1.77:4120
古董鉴赏,https://udpxy.carlzeng.top:3/rtp/239.3.1.82:4120
华数少儿,https://udpxy.carlzeng.top:3/rtp/239.3.1.199:9000
华数动画,https://udpxy.carlzeng.top:3/rtp/239.3.1.80:4120
金鹰卡通,https://udpxy.carlzeng.top:3/rtp/239.3.1.51:9252
央视高清,undefined
CCTV-1综合,https://udpxy.carlzeng.top:3/rtp/239.3.1.129:8008
CCTV-2财经,https://udpxy.carlzeng.top:3/rtp/239.3.1.60:8084
CCTV-3综艺,https://udpxy.carlzeng.top:3/rtp/239.3.1.172:8001
CCTV-4中文国际,https://udpxy.carlzeng.top:3/rtp/239.3.1.105:8092
CCTV-4 中文国际 欧洲,https://udpxy.carlzeng.top:3/rtp/239.3.1.213:4220
CCTV-4 中文国际 美洲,https://udpxy.carlzeng.top:3/rtp/239.3.1.214:4220
CCTV-5体育,https://udpxy.carlzeng.top:3/rtp/239.3.1.173:8001
CCTV5+,https://udpxy.carlzeng.top:3/rtp/239.3.1.130:8004
CCTV-6电影,https://udpxy.carlzeng.top:3/rtp/239.3.1.174:8001
CCTV-7国防军事,https://udpxy.carlzeng.top:3/rtp/239.3.1.61:8104
CCTV-8电视剧,https://udpxy.carlzeng.top:3/rtp/239.3.1.175:8001
CCTV-9纪录,https://udpxy.carlzeng.top:3/rtp/239.3.1.62:8112
CCTV-10科教,https://udpxy.carlzeng.top:3/rtp/239.3.1.63:8116
CCTV-11戏曲,https://udpxy.carlzeng.top:3/rtp/239.3.1.152:8120
CCTV-12社会与法,https://udpxy.carlzeng.top:3/rtp/239.3.1.64:8124
CCTV-13新闻,https://udpxy.carlzeng.top:3/rtp/239.3.1.124:8128
CCTV-14少儿,https://udpxy.carlzeng.top:3/rtp/239.3.1.65:8132
CCTV-15音乐,https://udpxy.carlzeng.top:3/rtp/239.3.1.153:8136
CCTV-16奥林匹克,https://udpxy.carlzeng.top:3/rtp/239.3.1.184:8001
CCTV-17农业农村,https://udpxy.carlzeng.top:3/rtp/239.3.1.151:8144
卫视高清,undefined
湖南卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.132:8012
凤凰卫视,https://edge2.laotv.la/live/PhxChinese/index.m3u8
浙江卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.137:8036
江苏卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.135:8028
东方卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.136:8032
山东卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.209:8052
安徽卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.211:8064
湖北卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.138:8044
东南卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.156:8148
广东卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.142:8048
辽宁卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.210:8056
黑龙江卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.133:8016
深圳卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.134:8020
贵州卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.149:8076
天津卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.141:1234
河北卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.148:8072
重庆卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.122:8160
江西卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.123:8164
吉林卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.240:8172
北京卫视,https://udpxy.carlzeng.top:3/rtp/239.3.1.241:8000
中国教育1台,https://udpxy.carlzeng.top:3/rtp/239.3.1.57:8152
剧场高清,undefined
BRTV影视,https://udpxy.carlzeng.top:3/rtp/239.3.1.158:8000
BRTV卡酷动画,https://udpxy.carlzeng.top:3/rtp/239.3.1.189:8000
北京IPTV超清,https://udpxy.carlzeng.top:3/rtp/239.3.1.249:8001
北京IPTV淘娱乐,https://udpxy.carlzeng.top:3/rtp/239.3.1.100:8001
北京IPTV淘剧场,https://udpxy.carlzeng.top:3/rtp/239.3.1.95:8001
北京IPTV淘Baby,https://udpxy.carlzeng.top:3/rtp/239.3.1.238:8001
北京IPTV淘电影,https://udpxy.carlzeng.top:3/rtp/239.3.1.250:8001
北京IPTV萌宠TV,https://udpxy.carlzeng.top:3/rtp/239.3.1.102:8001
BRTV体育休闲,https://udpxy.carlzeng.top:3/rtp/239.3.1.97:8001
金鹰纪实,https://udpxy.carlzeng.top:3/rtp/239.3.1.58:8156
快乐垂钓,https://udpxy.carlzeng.top:3/rtp/239.3.1.164:8001
CGTN新闻,https://udpxy.carlzeng.top:3/rtp/239.3.1.215:4220
CGTN记录,https://udpxy.carlzeng.top:3/rtp/239.3.1.216:4220
纪实人文,https://udpxy.carlzeng.top:3/rtp/239.3.1.212:8060
